                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0819,                 2.5838,                 1.2636,                0.58503,                0.42686,                0.58447,                0.38699,                 1.0193,                 1.8729,                 1.0534,              0.0033003,              0.0033003,              0.0033003
                      2,                0.96681,                 1.4045,                 1.1553,                0.74621,                0.72406,                0.78593,                0.52749,                0.95757,                 1.2078,                  1.028,              0.0066271,              0.0066271,              0.0066271
                      3,                 1.0026,                 1.2543,                 1.1612,                0.85582,                0.75192,                0.87029,                0.53169,                 1.0433,                 1.2858,                 1.1506,              0.0099473,              0.0099473,              0.0099473
                      4,                 1.0169,                 1.1685,                 1.1638,                0.82541,                0.85501,                0.87238,                0.54982,                0.98687,                0.95494,                  1.067,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.0171,                 1.0656,                 1.1587,                0.89206,                 0.8716,                 0.9202,                0.58659,                0.98451,                0.83045,                  1.085,              0.0099604,              0.0099604,              0.0099604
                      6,                0.99129,                0.93636,                 1.1422,                0.90666,                0.87024,                0.92331,                0.61399,                0.94151,                0.70725,                 1.0589,              0.0099505,              0.0099505,              0.0099505
                      7,                0.95177,                 0.8656,                   1.13,                0.93328,                0.92278,                 0.9505,                0.67918,                0.86434,                0.73112,                 1.0076,              0.0099406,              0.0099406,              0.0099406
                      8,                0.96866,                0.85364,                 1.1324,                0.92706,                 0.8758,                0.93364,                0.63828,                0.96231,                0.74926,                 1.0777,              0.0099307,              0.0099307,              0.0099307
                      9,                0.93848,                0.80565,                 1.1113,                0.92603,                0.92234,                0.94129,                0.67533,                0.85119,                0.65653,                0.98706,              0.0099208,              0.0099208,              0.0099208
                     10,                0.92884,                0.75581,                  1.116,                0.93245,                0.91134,                0.95665,                0.70052,                0.84554,                0.61468,                0.97681,              0.0099109,              0.0099109,              0.0099109
                     11,                0.91404,                0.72389,                 1.1018,                0.91016,                0.91705,                0.94494,                0.66183,                0.90277,                0.62676,                 1.0176,               0.009901,               0.009901,               0.009901
                     12,                0.88697,                0.70937,                 1.0901,                0.92719,                 0.9375,                0.95543,                0.67767,                0.87283,                0.62981,                 1.0035,              0.0098911,              0.0098911,              0.0098911
                     13,                0.91691,                0.69341,                 1.1131,                  0.942,                0.92154,                0.95588,                0.68201,                 1.0196,                0.65877,                 1.1049,              0.0098812,              0.0098812,              0.0098812
                     14,                0.88874,                0.66294,                 1.0938,                0.93857,                0.93941,                0.95462,                0.69348,                0.87148,                0.59023,                 1.0132,              0.0098713,              0.0098713,              0.0098713
                     15,                0.87907,                 0.6607,                 1.0814,                0.92026,                0.92142,                0.95137,                0.66847,                0.89026,                0.60109,                0.99113,              0.0098614,              0.0098614,              0.0098614
                     16,                0.91046,                0.66619,                 1.1047,                0.96663,                0.91654,                0.96353,                 0.7149,                0.80195,                0.56684,                0.95722,              0.0098515,              0.0098515,              0.0098515
                     17,                0.84653,                0.61665,                 1.0742,                 0.9611,                 0.9249,                0.96233,                0.71981,                0.80325,                0.54367,                0.97903,              0.0098416,              0.0098416,              0.0098416
                     18,                0.86582,                0.61005,                 1.0935,                0.94643,                0.93835,                 0.9613,                0.71092,                0.83168,                0.55777,                0.95831,              0.0098317,              0.0098317,              0.0098317
                     19,                0.85991,                0.59938,                 1.0956,                0.93226,                0.92901,                0.96124,                0.72268,                0.79654,                0.57902,                0.96436,              0.0098218,              0.0098218,              0.0098218
                     20,                0.84623,                 0.5914,                 1.0725,                0.92743,                 0.9338,                0.95924,                0.72278,                0.78524,                0.52776,                0.93868,              0.0098119,              0.0098119,              0.0098119
                     21,                0.85873,                0.59102,                 1.0925,                0.95628,                0.92438,                0.96397,                0.69675,                 0.8388,                0.55267,                0.96966,               0.009802,               0.009802,               0.009802
                     22,                0.82699,                0.55441,                 1.0744,                0.94685,                0.94991,                0.96503,                0.73032,                0.78233,                0.50119,                0.94558,              0.0097921,              0.0097921,              0.0097921
                     23,                0.82939,                0.57487,                 1.0781,                0.95116,                0.92795,                0.96776,                0.73429,                0.75144,                0.51243,                 0.9239,              0.0097822,              0.0097822,              0.0097822
                     24,                0.83394,                 0.5592,                 1.0731,                0.94902,                0.95374,                0.96861,                0.74213,                0.75445,                0.49385,                0.92279,              0.0097723,              0.0097723,              0.0097723
                     25,                0.82264,                0.55475,                 1.0705,                0.96947,                0.92817,                0.96982,                0.73232,                0.75795,                0.50288,                0.92605,              0.0097624,              0.0097624,              0.0097624
                     26,                0.82543,                 0.5419,                 1.0846,                0.96416,                0.94284,                0.96763,                0.72821,                0.77048,                0.50905,                0.94818,              0.0097525,              0.0097525,              0.0097525
                     27,                0.81323,                0.53029,                 1.0596,                 0.9802,                0.94144,                0.97323,                0.74149,                0.76013,                0.44589,                0.92114,              0.0097426,              0.0097426,              0.0097426
